uranium_lead_ratio,carbon_14_ratio,radioactive_decay_series,stratigraphic_layer_depth,geological_period,paleomagnetic_data,inclusion_of_other_fossils,isotopic_composition,surrounding_rock_type,stratigraphic_position,fossil_size,fossil_weight,age
0.4123667418358478,0.6059092214155927,0.6695691272798143,280.08,Jurassic,Normal polarity,True,0.9165340027387494,Sandstone,Bottom,2.42,592.38,45290
0.6557958648750669,0.6565304671836162,0.1432948025906771,98.23,Devonian,Reversed polarity,True,0.7495226354283661,Conglomerate,Bottom,44.16,146.74,51140
0.1901950431488946,0.2317422555693687,0.7639938953424936,197.18,Cambrian,Normal polarity,False,0.8115753581021787,Limestone,Bottom,108.35,98.13,31620
0.0512516331352239,0.7787138223200234,0.9380000992996358,168.74,Cambrian,Normal polarity,True,0.3158406615345264,Shale,Bottom,55.98,8.64,24549
0.3263333622008125,0.5652426031255142,0.2034035170396752,313.54,Neogene,Normal polarity,False,1.5289636511118898,Sandstone,Bottom,53.55,473.9,41318
0.3936109806891131,0.213079738349321,0.5120935397781202,89.37,Devonian,Normal polarity,False,0.4753988396086975,Limestone,Bottom,87.24,215.9,32368
0.6749466431932059,0.9465704023045436,0.3964897845234283,98.57,Cretaceous,Reversed polarity,True,0.0950516827625835,Shale,Middle,73.52,427.41,45067
0.268207696719448,0.4901229823424627,0.1552258200637233,84.27,Cambrian,Reversed polarity,True,0.909450636048795,Sandstone,Middle,33.8,167.57,21575
0.1248265690356359,0.3339348209473184,0.8932600963901589,187.45,Paleogene,Normal polarity,False,1.1717572241827667,Sandstone,Bottom,83.66,215.52,25493
0.2765067477806678,0.3895564191311434,0.3001519393341632,41.91,Cretaceous,Normal polarity,True,0.7974818422077186,Shale,Bottom,84.18,192.15,23973
0.5699001929868259,0.2409609486660831,0.7969860140987,17.43,Triassic,Normal polarity,True,1.5584991627399534,Shale,Middle,7.19,187.69,31780
0.0061954425317715,0.3755035122781724,1.0075337520710312,5.15,Devonian,Normal polarity,True,1.148636610448878,Shale,Bottom,35.76,288.97,9364
0.3214814603374717,0.342613928152453,0.0403596205758439,209.8,Devonian,Normal polarity,False,1.1696940802098017,Sandstone,Bottom,91.12,274.71,34400
0.132047015392189,0.4796440366920314,0.226179531001289,308.91,Cambrian,Normal polarity,True,1.536077146314299,Sandstone,Bottom,113.76,79.87,32969
0.3484269889904304,0.1610397953298815,0.5144765117635937,274.6,Triassic,Normal polarity,False,1.499111230226656,Sandstone,Bottom,27.58,342.59,41379
0.6071211013724706,0.3883188378545125,0.2684651443555866,56.68,Cambrian,Normal polarity,True,1.3913138949174062,Conglomerate,Top,91.25,734.31,36198
0.2356574517508813,0.3910332160937138,0.3642093421164998,298.96,Triassic,Normal polarity,True,0.7860557283850884,Shale,Bottom,64.98,255.1,38355
1.0578810224054482,0.332229947572202,0.3775922155882171,200.95,Jurassic,Normal polarity,True,0.2871464315333711,Sandstone,Bottom,76.92,810.75,75171
0.2474814218094574,0.5333153920186979,0.0341412791071075,306.56,Cambrian,Normal polarity,True,0.5825452286963864,Sandstone,Middle,69.73,402.04,30839
0.3445725012341125,0.4508449318340203,0.7386978961912501,191.59,Cambrian,Reversed polarity,False,0.3270254372151056,Shale,Middle,83.2,733.09,38149
0.3782636253090575,0.2385347420983666,0.6458422499020808,54.69,Devonian,Normal polarity,True,0.3705983878815979,Sandstone,Middle,68.2,77.09,25006
0.1862468934906111,0.0626768248059001,0.4581373306804354,51.61,Devonian,Normal polarity,True,0.49734517378999,Shale,Middle,105.68,392.88,14136
0.5839452682456229,0.9999999999,0.5165476261000285,143.68,Permian,Normal polarity,True,0.0852560778496412,Limestone,Bottom,34.28,376.73,54958
0.7769914397011598,0.1688607794762689,0.081150730616553,154.37,Triassic,Normal polarity,False,0.9662356841105624,Sandstone,Middle,39.96,196.47,43728
1.0280488380954655,0.2266617534093493,0.6751512884195765,133.81,Permian,Normal polarity,True,1.1257459121960798,Sandstone,Middle,46.65,38.55,58919
0.5493422346241801,0.2191638519993361,0.6217924648356274,18.3,Cretaceous,Normal polarity,True,1.360979302997738,Shale,Bottom,52.93,278.31,35778
0.2275786936595183,0.4619297781041375,0.1244513140370005,104.42,Jurassic,Reversed polarity,True,1.1715199217402985,Limestone,Bottom,101.02,75.26,21612
0.6641670661889518,0.2569226108336581,0.600292883498166,122.16,Devonian,Normal polarity,True,0.2467704902372937,Shale,Middle,118.32,194.09,42066
0.3816753359475993,0.2946919374619502,0.5735772824095555,165.46,Devonian,Reversed polarity,True,0.2740606209945831,Limestone,Middle,66.99,409.52,32548
